"day","date","orangeAverage","purpleAverage","greenAverage","bannerAverage","daily"
"Thursday","05/06/2010",1826.5,NA,NA,NA,1826.5
"Friday","05/07/2010",2217,NA,NA,NA,2217
"Saturday","05/08/2010",1818,NA,NA,NA,1818
"Sunday","05/09/2010",991,NA,NA,NA,991
"Monday","05/10/2010",1728,NA,NA,NA,1728
"Tuesday","05/11/2010",1664.5,NA,NA,NA,1664.5
"Wednesday","05/12/2010",1861,NA,NA,NA,1861
"Thursday","05/13/2010",1840.5,NA,NA,NA,1840.5
"Friday","05/14/2010",2536,NA,NA,NA,2536
"Saturday","05/15/2010",1998,NA,NA,NA,1998
"Sunday","05/16/2010",1056,NA,NA,NA,1056
"Monday","05/17/2010",1932.5,NA,NA,NA,1932.5
"Tuesday","05/18/2010",1622,NA,NA,NA,1622
"Wednesday","05/19/2010",1822,NA,NA,NA,1822
"Thursday","05/20/2010",2153,NA,NA,NA,2153
"Friday","05/21/2010",2541,NA,NA,NA,2541
"Saturday","05/22/2010",1549,NA,NA,NA,1549
"Sunday","05/23/2010",1018,NA,NA,NA,1018
"Monday","05/24/2010",1660,NA,NA,NA,1660
"Tuesday","05/25/2010",1758,NA,NA,NA,1758
"Wednesday","05/26/2010",2077.5,NA,NA,NA,2077.5
"Thursday","05/27/2010",2190,NA,NA,NA,2190
"Friday","05/28/2010",2249,NA,NA,NA,2249
"Saturday","05/29/2010",1722.5,NA,NA,NA,1722.5
"Sunday","05/30/2010",1370.5,NA,NA,NA,1370.5
"Monday","05/31/2010",1466.5,NA,NA,NA,1466.5
"Tuesday","06/01/2010",1912,NA,NA,NA,1912
"Wednesday","06/02/2010",1846,NA,NA,NA,1846
"Thursday","06/03/2010",2042.5,NA,NA,NA,2042.5
"Friday","06/04/2010",2024.5,NA,NA,NA,2024.5
"Saturday","06/05/2010",1842.5,NA,NA,NA,1842.5
"Sunday","06/06/2010",965,NA,NA,NA,965
"Monday","06/07/2010",1989.5,1083,NA,NA,3072.5
"Tuesday","06/08/2010",2424.5,1256.5,NA,NA,3681
"Wednesday","06/09/2010",1608.5,1759.5,NA,NA,3368
"Thursday","06/10/2010",2084.5,2062,NA,NA,4146.5
"Friday","06/11/2010",3012,2201,NA,NA,5213
"Saturday","06/12/2010",2274,1869,NA,NA,4143
"Sunday","06/13/2010",1322.5,1375.5,NA,NA,2698
"Monday","06/14/2010",2146,1901.5,NA,NA,4047.5
"Tuesday","06/15/2010",2223,1813.5,NA,NA,4036.5
"Wednesday","06/16/2010",1676,1687,NA,NA,3363
"Thursday","06/17/2010",2044,1611,NA,NA,3655
"Friday","06/18/2010",1808,2391,NA,NA,4199
"Saturday","06/19/2010",2126,1722,NA,NA,3848
"Sunday","06/20/2010",1513,1168.5,NA,NA,2681.5
"Monday","06/21/2010",2267,1492,NA,NA,3759
"Tuesday","06/22/2010",2074.5,2223.5,NA,NA,4298
"Wednesday","06/23/2010",2308.5,2351.5,NA,NA,4660
"Thursday","06/24/2010",2375.5,2220.5,NA,NA,4596
"Friday","06/25/2010",3471.5,2646,NA,NA,6117.5
"Saturday","06/26/2010",2364.5,2082.5,NA,NA,4447
"Sunday","06/27/2010",1370,1734,NA,NA,3104
"Monday","06/28/2010",2380,1857,NA,NA,4237
"Tuesday","06/29/2010",2224,2179.5,NA,NA,4403.5
"Wednesday","06/30/2010",2662,1301.5,NA,NA,3963.5
"Thursday","07/01/2010",2945.5,2033,NA,NA,4978.5
"Friday","07/02/2010",2796.5,2719.5,NA,NA,5516
"Saturday","07/03/2010",2465,2531,NA,NA,4996
"Sunday","07/04/2010",2027.5,2052.5,NA,NA,4080
"Monday","07/05/2010",1663.5,1954.5,NA,NA,3618
"Tuesday","07/06/2010",2273.5,2142,NA,NA,4415.5
"Wednesday","07/07/2010",2133.5,2804,NA,NA,4937.5
"Thursday","07/08/2010",2662.5,2691.5,NA,NA,5354
"Friday","07/09/2010",2847,3094,NA,NA,5941
"Saturday","07/10/2010",1878.5,2198,NA,NA,4076.5
"Sunday","07/11/2010",1719.5,2056,NA,NA,3775.5
"Monday","07/12/2010",2360,2198,NA,NA,4558
"Tuesday","07/13/2010",2534.5,2610,NA,NA,5144.5
"Wednesday","07/14/2010",2101.5,2369.5,NA,NA,4471
"Thursday","07/15/2010",2656.5,2599.5,NA,NA,5256
"Friday","07/16/2010",2316,2678,NA,NA,4994
"Saturday","07/17/2010",1513,3562.5,NA,NA,5075.5
"Sunday","07/18/2010",1276.5,2099.5,NA,NA,3376
"Monday","07/19/2010",2496.5,2035.5,NA,NA,4532
"Tuesday","07/20/2010",2239,2234.5,NA,NA,4473.5
"Wednesday","07/21/2010",2951,2361,NA,NA,5312
"Thursday","07/22/2010",2472,2752.5,NA,NA,5224.5
"Friday","07/23/2010",2868,3213,NA,NA,6081
"Saturday","07/24/2010",1912,2537.5,NA,NA,4449.5
"Sunday","07/25/2010",1535.5,1746,NA,NA,3281.5
"Monday","07/26/2010",2574,2884.5,NA,NA,5458.5
"Tuesday","07/27/2010",2600,3044.5,NA,NA,5644.5
"Wednesday","07/28/2010",2876,2933,NA,NA,5809
"Thursday","07/29/2010",2447,2833.5,NA,NA,5280.5
"Friday","07/30/2010",3140,3477,NA,NA,6617
"Saturday","07/31/2010",2306,2917,NA,NA,5223
"Sunday","08/01/2010",1495,2251.5,NA,NA,3746.5
"Monday","08/02/2010",2481.5,2529.5,NA,NA,5011
"Tuesday","08/03/2010",2528.5,2738.5,NA,NA,5267
"Wednesday","08/04/2010",2148.5,2787.5,NA,NA,4936
"Thursday","08/05/2010",2710.5,2824.5,NA,NA,5535
"Friday","08/06/2010",2952.5,3624,NA,NA,6576.5
"Saturday","08/07/2010",2536.5,2998.5,NA,NA,5535
"Sunday","08/08/2010",1664.5,2241.5,NA,NA,3906
"Monday","08/09/2010",2589,2361.5,NA,NA,4950.5
"Tuesday","08/10/2010",2182,1995,NA,NA,4177
"Wednesday","08/11/2010",2832,2745,NA,NA,5577
"Thursday","08/12/2010",2637,2619,NA,NA,5256
"Friday","08/13/2010",3957,2943,NA,NA,6900
"Saturday","08/14/2010",2300,2795,NA,NA,5095
"Sunday","08/15/2010",2525,2754,NA,NA,5279
"Monday","08/16/2010",3975,3055,NA,NA,7030
"Tuesday","08/17/2010",2310,2670,NA,NA,4980
"Wednesday","08/18/2010",1993,2491,NA,NA,4484
"Thursday","08/19/2010",1811,2200,NA,NA,4011
"Friday","08/20/2010",2407,2685,NA,NA,5092
"Saturday","08/21/2010",2137,3048,NA,NA,5185
"Sunday","08/22/2010",1988,2220,NA,NA,4208
"Monday","08/23/2010",2863,3098,NA,NA,5961
"Tuesday","08/24/2010",2835,3168,NA,NA,6003
"Wednesday","08/25/2010",2130,2130,NA,NA,4260
"Thursday","08/26/2010",2555,2865,NA,NA,5420
"Friday","08/27/2010",2365,2685,NA,NA,5050
"Saturday","08/28/2010",2290,2334,NA,NA,4624
"Sunday","08/29/2010",1397,2190,NA,NA,3587
"Monday","08/30/2010",2280,3314,NA,NA,5594
"Tuesday","08/31/2010",2790,2875,NA,NA,5665
"Wednesday","09/01/2010",2876,3315,NA,NA,6191
"Thursday","09/02/2010",2705,3393,NA,NA,6098
"Friday","09/03/2010",2968,3128,NA,NA,6096
"Saturday","09/04/2010",3350,3046,NA,NA,6396
"Sunday","09/05/2010",2008,2390,NA,NA,4398
"Monday","09/06/2010",2263,2070,NA,NA,4333
"Tuesday","09/07/2010",2625,3074,NA,NA,5699
"Wednesday","09/08/2010",2410,2641,NA,NA,5051
"Thursday","09/09/2010",2309,2721,NA,NA,5030
"Friday","09/10/2010",2782,3398,NA,NA,6180
"Saturday","09/11/2010",2110,2858,NA,NA,4968
"Sunday","09/12/2010",1132,1630,NA,NA,2762
"Monday","09/13/2010",2464,2670,NA,NA,5134
"Tuesday","09/14/2010",2312,2707,NA,NA,5019
"Wednesday","09/15/2010",2060,3117,NA,NA,5177
"Thursday","09/16/2010",2204,2560,NA,NA,4764
"Friday","09/17/2010",2204,2816,NA,NA,5020
"Saturday","09/18/2010",2597,3288,NA,NA,5885
"Sunday","09/19/2010",1360,2445,NA,NA,3805
"Monday","09/20/2010",2321,2812,NA,NA,5133
"Tuesday","09/21/2010",2135,2556,NA,NA,4691
"Wednesday","09/22/2010",2010,2699,NA,NA,4709
"Thursday","09/23/2010",2175,2761,NA,NA,4936
"Friday","09/24/2010",2626,3068,NA,NA,5694
"Saturday","09/25/2010",1747,3277,NA,NA,5024
"Sunday","09/26/2010",1556,1969,NA,NA,3525
"Monday","09/27/2010",2373,2790,NA,NA,5163
"Tuesday","09/28/2010",2443,3175,NA,NA,5618
"Wednesday","09/29/2010",2220,3000,NA,NA,5220
"Thursday","09/30/2010",2512,2128,NA,NA,4640
"Friday","10/01/2010",3303,3825,NA,NA,7128
"Saturday","10/02/2010",2465,3553,NA,NA,6018
"Sunday","10/03/2010",1512,2064,NA,NA,3576
"Monday","10/04/2010",1442,2609,NA,NA,4051
"Tuesday","10/05/2010",2253,2364,NA,NA,4617
"Wednesday","10/06/2010",2434,2907,NA,NA,5341
"Thursday","10/07/2010",2112.5,3360.5,NA,NA,5473
"Friday","10/08/2010",2585.5,3853.5,NA,NA,6439
"Saturday","10/09/2010",2257,3320.5,NA,NA,5577.5
"Sunday","10/10/2010",1439,2135,NA,NA,3574
"Monday","10/11/2010",2313.5,3145.5,NA,NA,5459
"Tuesday","10/12/2010",2500,3002,NA,NA,5502
"Wednesday","10/13/2010",2014.5,2564.5,NA,NA,4579
"Thursday","10/14/2010",1838.5,2456.5,NA,NA,4295
"Friday","10/15/2010",2632.5,3279.5,NA,NA,5912
"Saturday","10/16/2010",1454,2665,NA,NA,4119
"Sunday","10/17/2010",1197,1818,NA,NA,3015
"Monday","10/18/2010",2369,2192.5,NA,NA,4561.5
"Tuesday","10/19/2010",1858.5,3178,NA,NA,5036.5
"Wednesday","10/20/2010",2413,2667,NA,NA,5080
"Thursday","10/21/2010",2280.5,3313.5,NA,NA,5594
"Friday","10/22/2010",2760,3933.5,NA,NA,6693.5
"Saturday","10/23/2010",1908,3247.5,NA,NA,5155.5
"Sunday","10/24/2010",1572,2337.5,NA,NA,3909.5
"Monday","10/25/2010",2335,3417,NA,NA,5752
"Tuesday","10/26/2010",2373,3315.5,NA,NA,5688.5
"Wednesday","10/27/2010",2339.5,3343.5,NA,NA,5683
"Thursday","10/28/2010",2521,3452.5,NA,NA,5973.5
"Friday","10/29/2010",2472,3121.5,NA,NA,5593.5
"Saturday","10/30/2010",2290.5,2646,NA,NA,4936.5
"Sunday","10/31/2010",1381,2203.5,NA,NA,3584.5
"Monday","11/01/2010",1777.5,3140.5,NA,NA,4918
"Tuesday","11/02/2010",2048,2313.5,NA,NA,4361.5
"Wednesday","11/03/2010",2112,2395,NA,NA,4507
"Thursday","11/04/2010",1524,2563.5,NA,NA,4087.5
"Friday","11/05/2010",1973,3511,NA,NA,5484
"Saturday","11/06/2010",2006,2630.5,NA,NA,4636.5
"Sunday","11/07/2010",987,1808.5,NA,NA,2795.5
"Monday","11/08/2010",1651.5,2884,NA,NA,4535.5
"Tuesday","11/09/2010",2224,2828,NA,NA,5052
"Wednesday","11/10/2010",2055,2932,NA,NA,4987
"Thursday","11/11/2010",2043.5,2346.5,NA,NA,4390
"Friday","11/12/2010",2632.5,3591,NA,NA,6223.5
"Saturday","11/13/2010",1769.5,3136.5,NA,NA,4906
"Sunday","11/14/2010",1126,1761.5,NA,NA,2887.5
"Monday","11/15/2010",2162.5,2657,NA,NA,4819.5
"Tuesday","11/16/2010",1834.5,2458.5,NA,NA,4293
"Wednesday","11/17/2010",1541.5,2940,NA,NA,4481.5
"Thursday","11/18/2010",1938.5,2938,NA,NA,4876.5
"Friday","11/19/2010",2086.5,3818.5,NA,NA,5905
"Saturday","11/20/2010",1874,2487,NA,NA,4361
"Sunday","11/21/2010",1290.5,1512,NA,NA,2802.5
"Monday","11/22/2010",1988.5,3132.5,NA,NA,5121
"Tuesday","11/23/2010",2255,2545,NA,NA,4800
"Wednesday","11/24/2010",2430.5,2938,NA,NA,5368.5
"Thursday","11/25/2010",NA,NA,NA,NA,0
"Friday","11/26/2010",1917.5,2571.5,NA,NA,4489
"Saturday","11/27/2010",1893,2235.5,NA,NA,4128.5
"Sunday","11/28/2010",958,1711,NA,NA,2669
"Monday","11/29/2010",1933.5,3171.5,NA,NA,5105
"Tuesday","11/30/2010",2358.5,2777.5,NA,NA,5136
"Wednesday","12/01/2010",2060.5,2786,NA,NA,4846.5
"Thursday","12/02/2010",2282,2935,NA,NA,5217
"Friday","12/03/2010",2482.5,3638.5,NA,NA,6121
"Saturday","12/04/2010",2141,2821,NA,NA,4962
"Sunday","12/05/2010",1471.5,1952.5,NA,NA,3424
"Monday","12/06/2010",2123.5,2657.5,NA,NA,4781
"Tuesday","12/07/2010",1931.5,2601,NA,NA,4532.5
"Wednesday","12/08/2010",1766.5,3153,NA,NA,4919.5
"Thursday","12/09/2010",1547.5,2885,NA,NA,4432.5
"Friday","12/10/2010",2539.5,2707,NA,NA,5246.5
"Saturday","12/11/2010",1892.5,2348,NA,NA,4240.5
"Sunday","12/12/2010",823.5,1426,NA,NA,2249.5
"Monday","12/13/2010",1796.5,2735,NA,NA,4531.5
"Tuesday","12/14/2010",1423,2343,NA,NA,3766
"Wednesday","12/15/2010",1973,2360,NA,NA,4333
"Thursday","12/16/2010",1927,2476.5,NA,NA,4403.5
"Friday","12/17/2010",1718,2643,NA,NA,4361
"Saturday","12/18/2010",1279.5,1975.5,NA,NA,3255
"Sunday","12/19/2010",1104.5,1164,NA,NA,2268.5
"Monday","12/20/2010",1899.5,2639,NA,NA,4538.5
"Tuesday","12/21/2010",1849.5,2635,NA,NA,4484.5
"Wednesday","12/22/2010",1842,2605,NA,NA,4447
"Thursday","12/23/2010",2222,2257.5,NA,NA,4479.5
"Friday","12/24/2010",798.5,876,NA,NA,1674.5
"Saturday","12/25/2010",NA,NA,NA,NA,0
"Sunday","12/26/2010",NA,NA,NA,NA,0
"Monday","12/27/2010",1247,1497.5,NA,NA,2744.5
"Tuesday","12/28/2010",1926,2277,NA,NA,4203
"Wednesday","12/29/2010",2061,2290,NA,NA,4351
"Thursday","12/30/2010",2128.5,2203,NA,NA,4331.5
"Friday","12/31/2010",2209,2301.5,NA,NA,4510.5
"Saturday","01/01/2011",1472,1610.5,NA,NA,3082.5
"Sunday","01/02/2011",1103.5,1448,NA,NA,2551.5
"Monday","01/03/2011",2064.5,2909.5,NA,NA,4974
"Tuesday","01/04/2011",1738,2527,NA,NA,4265
"Wednesday","01/05/2011",1793.5,2615,NA,NA,4408.5
"Thursday","01/06/2011",2002.5,2561,NA,NA,4563.5
"Friday","01/07/2011",1915.5,3092.5,NA,NA,5008
"Saturday","01/08/2011",1444,1988.5,NA,NA,3432.5
"Sunday","01/09/2011",992,1284.5,NA,NA,2276.5
"Monday","01/10/2011",2025,2884,NA,NA,4909
"Tuesday","01/11/2011",1910.5,2713.5,NA,NA,4624
"Wednesday","01/12/2011",1672.5,2429.5,NA,NA,4102
"Thursday","01/13/2011",2034.5,2657,NA,NA,4691.5
"Friday","01/14/2011",2468.5,3512,NA,NA,5980.5
"Saturday","01/15/2011",1381.5,2068.5,NA,NA,3450
"Sunday","01/16/2011",1072,1606,NA,NA,2678
"Monday","01/17/2011",1417,2006.5,NA,NA,3423.5
"Tuesday","01/18/2011",1276.5,2029.5,NA,NA,3306
"Wednesday","01/19/2011",1860,3017,NA,NA,4877
"Thursday","01/20/2011",2127,2119.5,NA,NA,4246.5
"Friday","01/21/2011",2204.5,2891.5,NA,NA,5096
"Saturday","01/22/2011",1733,1949,NA,NA,3682
"Sunday","01/23/2011",839.5,1388.5,NA,NA,2228
"Monday","01/24/2011",1788,2416.5,NA,NA,4204.5
"Tuesday","01/25/2011",1967,2461,NA,NA,4428
"Wednesday","01/26/2011",1262.5,1697,NA,NA,2959.5
"Thursday","01/27/2011",902.5,1392.5,NA,NA,2295
"Friday","01/28/2011",1831,2483,NA,NA,4314
"Saturday","01/29/2011",1390,1870,NA,NA,3260
"Sunday","01/30/2011",1000,1243.5,NA,NA,2243.5
"Monday","01/31/2011",1436.5,2440,NA,NA,3876.5
"Tuesday","02/01/2011",1347,2175,NA,NA,3522
"Wednesday","02/02/2011",1553,2262,NA,NA,3815
"Thursday","02/03/2011",1535.5,2210,NA,NA,3745.5
"Friday","02/04/2011",1591,2108,NA,NA,3699
"Saturday","02/05/2011",1225,1684.5,NA,NA,2909.5
"Sunday","02/06/2011",920,1368,NA,NA,2288
"Monday","02/07/2011",1499.5,1702,NA,NA,3201.5
"Tuesday","02/08/2011",1281.5,1933.5,NA,NA,3215
"Wednesday","02/09/2011",1551,2093,NA,NA,3644
"Thursday","02/10/2011",1698,2286.5,NA,NA,3984.5
"Friday","02/11/2011",2261,3105,NA,NA,5366
"Saturday","02/12/2011",1768.5,2700,NA,NA,4468.5
"Sunday","02/13/2011",1290,1626,NA,NA,2916
"Monday","02/14/2011",2165,2480.5,NA,NA,4645.5
"Tuesday","02/15/2011",1610.5,2860,NA,NA,4470.5
"Wednesday","02/16/2011",2253,2708,NA,NA,4961
"Thursday","02/17/2011",2303.5,3358.5,NA,NA,5662
"Friday","02/18/2011",2852,4523.5,NA,NA,7375.5
"Saturday","02/19/2011",1884.5,2739.5,NA,NA,4624
"Sunday","02/20/2011",1642,1926.5,NA,NA,3568.5
"Monday","02/21/2011",1827,2240.5,NA,NA,4067.5
"Tuesday","02/22/2011",1780,2209.5,NA,NA,3989.5
"Wednesday","02/23/2011",2098,3315.5,NA,NA,5413.5
"Thursday","02/24/2011",2006.5,3362,NA,NA,5368.5
"Friday","02/25/2011",2165,3984.5,NA,NA,6149.5
"Saturday","02/26/2011",2497.5,3329,NA,NA,5826.5
"Sunday","02/27/2011",1778,2196.5,NA,NA,3974.5
"Monday","02/28/2011",2184,3236,NA,NA,5420
"Tuesday","03/01/2011",2560,3315.5,NA,NA,5875.5
"Wednesday","03/02/2011",2323.5,3526.5,NA,NA,5850
"Thursday","03/03/2011",2543,3533,NA,NA,6076
"Friday","03/04/2011",3063.5,4486.5,NA,NA,7550
"Saturday","03/05/2011",2374.5,3274,NA,NA,5648.5
"Sunday","03/06/2011",1389,1896.5,NA,NA,3285.5
"Monday","03/07/2011",2682.5,3629.5,NA,NA,6312
"Tuesday","03/08/2011",2896.5,4048.5,NA,NA,6945
"Wednesday","03/09/2011",2476.5,3941.5,NA,NA,6418
"Thursday","03/10/2011",1840,3090,NA,NA,4930
"Friday","03/11/2011",3169,4529.5,NA,NA,7698.5
"Saturday","03/12/2011",2741,3695.5,NA,NA,6436.5
"Sunday","03/13/2011",1216,1589,NA,NA,2805
"Monday","03/14/2011",2653.5,3517.5,NA,NA,6171
"Tuesday","03/15/2011",2656.5,3743.5,NA,NA,6400
"Wednesday","03/16/2011",2473,3725.5,NA,NA,6198.5
"Thursday","03/17/2011",2681.5,3748.5,NA,NA,6430
"Friday","03/18/2011",3215.5,4615.5,NA,NA,7831
"Saturday","03/19/2011",2687,3415.5,NA,NA,6102.5
"Sunday","03/20/2011",1654.5,1905.5,NA,NA,3560
"Monday","03/21/2011",2446.5,3354.5,NA,NA,5801
"Tuesday","03/22/2011",2635.5,3697.5,NA,NA,6333
"Wednesday","03/23/2011",2557.5,3514,NA,NA,6071.5
"Thursday","03/24/2011",2763,3662.5,NA,NA,6425.5
"Friday","03/25/2011",3314.5,4877.5,NA,NA,8192
"Saturday","03/26/2011",2777,3500,NA,NA,6277
"Sunday","03/27/2011",1793.5,2148,NA,NA,3941.5
"Monday","03/28/2011",2819.5,3890.5,NA,NA,6710
"Tuesday","03/29/2011",3093.5,4080.5,NA,NA,7174
"Wednesday","03/30/2011",2730.5,3823,NA,NA,6553.5
"Thursday","03/31/2011",2888,3517.5,NA,NA,6405.5
"Friday","04/01/2011",3525,4556,NA,NA,8081
"Saturday","04/02/2011",2798.5,3404,NA,NA,6202.5
"Sunday","04/03/2011",1879.5,2414.5,NA,NA,4294
"Monday","04/04/2011",3396,4503.5,NA,NA,7899.5
"Tuesday","04/05/2011",2667.5,3693,NA,NA,6360.5
"Wednesday","04/06/2011",2851.5,4112.5,NA,NA,6964
"Thursday","04/07/2011",2954.5,4311.5,NA,NA,7266
"Friday","04/08/2011",2949.5,3997.5,NA,NA,6947
"Saturday","04/09/2011",2599,3558,NA,NA,6157
"Sunday","04/10/2011",1849.5,2386,NA,NA,4235.5
"Monday","04/11/2011",3201.5,4155,NA,NA,7356.5
"Tuesday","04/12/2011",2612.5,4038,NA,NA,6650.5
"Wednesday","04/13/2011",2763.5,3744,NA,NA,6507.5
"Thursday","04/14/2011",2889.5,4178.5,NA,NA,7068
"Friday","04/15/2011",3487.5,5155.5,NA,NA,8643
"Saturday","04/16/2011",1350.5,1930,NA,NA,3280.5
"Sunday","04/17/2011",2024.5,2907.5,NA,NA,4932
