,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2030,2050,2099
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72843721,2.724626657,2.720816105,2.717005553,2.713195001,2.709384449,2.705573897,2.701763345,2.697952793,2.694142241,2.690331689,2.686521137,2.682710585,2.678900033,2.675089481,2.671278929,2.667468377,2.663657825,2.659847273,2.656036721,2.652226169,2.648415617,2.644605065,2.640794513,2.636983961,2.633173408,2.63329633,2.633419251,2.633542172,2.633665093,2.633788014,2.633910935,2.634033856,2.634156777,2.634279698,2.634402619,2.63452554,2.634648461,2.634771382,2.634894303,2.635017224,2.635140145,2.635263066,2.635385987,2.635508908,2.635631829,2.63575475,2.635877671,2.636000592,2.636123513,2.636246434,2.632036389,2.627826344,2.623616298,2.619406253,2.615196207,2.610986162,2.606776117,2.602566071,2.598356026,2.59414598,2.598192131,2.602238282,2.606284432,2.610330583,2.614376734,2.618422884,2.622469035,2.626515186,2.630561337,2.634607487,2.6301516,2.625695712,2.621239825,2.616783937,2.61232805,2.607872162,2.603416275,2.598960387,2.5945045,2.590048613,2.582980653,2.575912694,2.568844734,2.561776775,2.554708815,2.547640856,2.540572896,2.533504937,2.526436978,2.519369018,2.51563017,2.511891322,2.508152474,2.504413626,2.424911212,2.346306275,2.268625557,2.191887029,2.188595095,2.112917872,2.006881289,1.972466538,1.938051786,1.837564786,1.804344517,1.708161699,1.676122393,1.584193621,1.553321419,1.522449217,1.426845297,1.388104947,1.297680866,1.210873683,1.17508183,1.093300704,1.058953647,0.982113721,0.949191118,0.877198348,0.898210859,0.815540916,0.747934353,0.699837419,0.639942726,0.616241144,0.548678709,0.541811027,0.495196709,0.47545993,0.448246542,0.434971718,0.382698396,0.371800085,0.332514245,0.329739991,0.334892178,0.34106609,0.362008745,0.389459628,0.398439032,0.400137243,0.460182642,0.433768733,0.414390216,0.471578109,0.442013901,0.389915119,0.369919472,0.38640237,0.352877228,0.291222262,0.260083717,0.253161337,0.226670416,0.221230326,0.217603599,0.196185676,0.192874525,0.190391162,0.17130798,0.183768861,0.18045771,0.159988069,0.171352046,0.168040895,0.165557532,0.164729745,0.182243015,0.169696471,0.173835409,0.178802135,0.182941073,0.187080012,0.173571962,0.174326623,0.173571962,0.17206264,0.168289337,0.18045771,0.159988069,0.156214766,0.152441462,0.15017748,0.148668159,0.147158837,0.132250118,0.13087965,0.128138715,0.137348248,0.120601144,0.115119274,0.098840572,0.092624184,0.086407796,0.074123903,0.069597252,0.060530652,0.058478765,0.057965794,0.058478765,0.054618766,0.061556595,0.057886556,0.060220691,0.056388028,0.058083909,0.059779789,0.0610517,0.056268372,0.055680032,0.0453721,0.027987652
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.067378134,2.070143857,2.072909581,2.075675304,2.078441027,2.08120675,2.020833841,2.023515771,2.0261977,2.02887963,2.031561559,2.036031442,2.040501324,2.044971206,2.049441089,2.053910971,1.994639473,1.998970938,2.003302402,2.007633867,2.011965332,2.016296796,2.020628261,2.024959725,2.02929119,2.033622655,2.002436109,1.908844352,1.8786451,1.848445849,1.818246597,1.827683863,1.837121129,1.846558396,1.855995662,1.865432928,1.754079365,1.644037401,1.593533924,1.660505221,1.728741014,1.614912702,1.680137084,1.566678158,1.57197432,1.636898224,1.826062623,1.83217366,1.77597214,1.844395735,1.603751294,1.476905096,1.755881277,1.925222555,1.605880719,1.506495925,1.468463339,1.805730458,1.953871801,1.712009427,1.600904055,1.377856797,1.343391563,1.34628302,1.771326408,1.834018272,1.694276075,1.486481637,1.462976206,1.384878284,1.433390567,1.421657913,1.320286004,1.340053221,1.457458399,1.566528814,1.54067295,1.463672137,1.375503151,1.504864633,1.556031343,1.399889022,1.466578719,1.326114122,1.39055332,1.298368924,1.35129549,1.324625901,1.427512806,1.357632307,1.38204503,1.404236274,1.344018191,1.396766848,1.267951755,1.155978291,1.059839533,1.085540708,1.05130598,1.134373798,1.100785877,1.066313585,0.944231013,0.923248101,0.879235813,0.949211713,0.810247535,0.843172543,0.893172595,0.792013822,0.728043705,0.754288898,0.71001105,0.640807834,0.638750967,0.639267554,0.676743221,0.651593271,0.699804448,0.620155835,0.652148022,0.482292541,0.474739102,0.472423302,0.459024742,0.41237485,0.399507515,0.404107187,0.376873406,0.355789579,0.356409692,0.341526991,0.316945705,0.283046492,0.290071989,0.307815582,0.289396461,0.291287941,0.273636825,0.250886181,0.257868172,0.260893701,0.268225375,0.28445215,0.330248137,0.346423081,0.324105661,0.262756346,0.224247678,0.212906987,0.213238102,0.188816108,0.191306488,0.195834453,0.191834751,0.17651622,0.177475547,0.175145752,0.173706761,0.170897303,0.174254948,0.174529042,0.174323471,0.181038762,0.161750421,0.178846014,0.179188631,0.146085123,0.131600938,0.124327764,0.12121957,0.127000811,0.12619268,0.108469864,0.107281618,0.10858303,0.098850731,0.08515329,0.094380664,0.090589594,0.087477522,0.08130996,0.073201051,0.070636193,0.071816028,0.074226994,0.075919801,0.076740555,0.079972276,0.083101403,0.085563667,0.086333125,0.090488195,0.089718737,0.084308968,0.092693973,0.081554688,0.081788102,0.073092451,0.073558819,0.075085111,0.074067583,0.073050054,0.067753286,0.068755325,0.069449045,0.071298964,0.07116022,0.072929205,0.06541806,0.06576977,0.057350269,0.043683688,0.025069924
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.122296835,4.117018606,3.994933593,3.994933593,3.873898096,3.873898096,3.753936033,3.758748771,3.63975546,3.644415838,3.52642813,3.521918631,3.521918631,3.396539461,3.387819205,3.256132562,3.239283235,3.102456036,3.078059265,2.937263219,2.909812161,2.769807089,2.735798543,2.604515572,2.571777247,2.542676515,2.417300117,2.392812272,2.278579953,2.261776266,2.157575726,2.144675423,2.046456668,2.037182695,1.941437639,1.932559113,1.91776157,1.816715019,1.796906599,1.774268406,1.745970664,1.634755361,1.599628386,1.561799336,1.521268212,1.414366171,1.375722286,1.339654661,1.303587035,1.209202519,1.177316854,1.147883933,1.118451011,1.037488397,1.009511181,0.93366259,0.909325413,0.887200707,0.819469183,0.80270255,0.743103945,0.340319319,0.18045771,0.071298964
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.644638419,3.64465595,3.644673481,3.644691012,3.644708543,3.644726073,3.644743604,3.644761134,3.644778665,3.644796196,3.644813727,3.644831257,3.644848788,3.644866319,3.64488385,3.64490138,3.644918911,3.644936442,3.644953972,3.644971503,3.644989034,3.645006565,3.645024096,3.645041626,3.645059157,3.645076688,3.645094218,3.645111749,3.64512928,3.64514681,3.645164341,3.645181872,3.645199403,3.645216934,3.645234464,3.645251995,3.645269526,3.645287056,3.645304587,3.645322118,3.645339648,3.645357179,3.64537471,3.645392241,3.645409772,3.645427302,3.645444833,3.645462364,3.645479894,3.645497425,3.645514956,3.645532487,3.645550017,3.645567548,3.645585079,3.64560261,3.64562014,3.645637671,3.645655202,3.645672732,3.645690263,3.645707794,3.645725325,3.645742856,3.645760386,3.645777917,3.645795448,3.645812978,3.645830509,3.645848039,3.64586557,3.645883101,3.645900632,3.645918163,3.645935694,3.645953224,3.645970755,3.645988285,3.646005816,3.646023347,3.646040877,3.646058408,3.646075939,3.64609347,3.646111001,3.646128532,3.646146062,3.646163593,3.646181123,3.646198654,3.646216185,3.646233716,3.646251246,3.646268777,3.646286308,3.646303839,3.646321369,3.6463389,3.646356431,3.646373961,3.646391492,3.646409023,3.646426554,3.646444085,3.646461615,3.646479146,3.646496677,3.646514207,3.646531738,3.646549269,3.646566799,3.64658433,3.646601861,3.646619392,3.646636923,3.646654453,3.646671984,3.646689515,3.646707045,3.646724576,3.646742107,3.646759637,3.646777168,3.646794699,3.64681223,3.646829761,3.646847291,3.646864822,3.646882353,3.646899883,3.646917414,3.646934945,3.646952476,3.646970006,3.646987537,3.647005068,3.599202331,3.549210888,3.497105613,3.442953577,3.386815924,3.328771102,3.268876161,3.207210214,3.143842244,3.07883149,3.11795637,3.050065286,2.980689042,2.909916736,2.83782418,2.742744052,2.655182039,2.669175093,2.574324844,2.473633157,2.37413704,2.371045716,2.261064567,2.153458145,2.042768682,2.023854157,1.906431633,1.790502715,1.676301477,1.643661392,1.526604709,1.412588822,1.374863898,1.264267512,1.224635302,1.118188167,1.08079057,0.982452407,0.889929049,0.858500328,0.82872575,0.751886475,0.727081973,0.659397787,0.64055785,0.623167139,0.566092983,0.551231354,0.499804757,0.487246848,0.439865383,0.430556063,0.387938142,0.380415796,0.34315228,0.3362299,0.301924994,0.295578223,0.290138133,0.259097538,0.254130812,0.249164086,0.245852936,0.221115586,0.218096943,0.215832961,0.21432364,0.19255069,0.190494988,0.188439287,0.186383586,0.184327885,0.164734287,0.162869371,0.160382815,0.086065938,0.06260438,0.041101401
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.794347631,3.79449984,3.794652048,3.794804257,3.794956466,3.795108675,3.795260884,3.795413092,3.795565301,3.79571751,3.795869719,3.796021928,3.796174136,3.796326345,3.796478554,3.796630763,3.796782972,3.79693518,3.797087389,3.797239598,3.797391807,3.797544015,3.797696224,3.797848433,3.798000642,3.798152851,3.798305059,3.798457268,3.798609477,3.798761686,3.798913895,3.799066103,3.799218312,3.799370521,3.79952273,3.799674938,3.799827147,3.799979356,3.800131565,3.800283774,3.800435982,3.800588191,3.8007404,3.800892609,3.801044818,3.801197026,3.801349235,3.801501444,3.801653653,3.801805861,3.80195807,3.802110279,3.802262488,3.802414697,3.802566905,3.802719114,3.802871323,3.803023532,3.803175741,3.803327949,3.803480158,3.803632367,3.803784576,3.803936785,3.804088993,3.804241202,3.804393411,3.80454562,3.804697828,3.804850037,3.805002246,3.805154455,3.805306664,3.805458872,3.805611081,3.80576329,3.805915499,3.806067708,3.806219916,3.806372125,3.806524334,3.806676543,3.806828751,3.80698096,3.807133169,3.807285378,3.807437587,3.807589795,3.807742004,3.807894213,3.808046422,3.808198631,3.808350839,3.808503048,3.808655257,3.808807466,3.808959675,3.809111883,3.809264092,3.809416301,3.80956851,3.802565626,3.795562743,3.78855986,3.781556976,3.774554093,3.76755121,3.760548326,3.753545443,3.74654256,3.739539677,3.732536794,3.72553391,3.718531027,3.711528144,3.70452526,3.697522377,3.690519494,3.709567336,3.728615179,3.747663021,3.766710864,3.785758706,3.807981189,3.830203672,3.852426155,3.874648638,3.896871121,3.8873472,3.877823279,3.868299358,3.858775436,3.849251515,3.836552953,3.823854392,3.81115583,3.798457268,3.785758706,3.758774263,3.731789819,3.597260842,3.360179476,3.232235179,3.128549242,3.025945905,2.825312105,2.726062654,2.628007441,2.437525867,2.343999835,2.251694054,2.160800802,2.160800802,2.071187262,2.071187262,1.982870759,1.982870759,1.89877847,1.813092309,1.813092309,1.731246023,1.648243596,1.645790852,1.562061181,1.555066878,1.469080473,1.45801812,1.368576411,1.353905607,1.337138974,1.244451407,1.224635302,1.135017086,1.114448408,1.02822976,1.007101751,0.924666056,0.904816338,0.826299982,0.806146324,0.733308308,0.664720162,0.644454303,0.581431162,0.56385009,0.505030625,0.451340775,0.436296082,0.388642208,0.374797448,0.332752171,0.322778673,0.286414531,0.278964442,0.248283371,0.243755407,0.217219106,0.213107703,0.190221479,0.187113285,0.183383452,0.164091082,0.160696094,0.157866938,0.140554225,0.137989367,0.135424509,0.133372623,0.131320736,0.12926885,0.127216963,0.075538362,0.050945671,0.033006808
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.294233043,3.294051014,3.293868985,3.293686956,3.293504926,3.293322897,3.293140868,3.292958838,3.292776809,3.29259478,3.292412751,3.292230721,3.292048692,3.291866663,3.291684633,3.291502604,3.291320575,3.291138546,3.290956516,3.290774487,3.290592458,3.290410428,3.290228399,3.29004637,3.289864341,3.289682311,3.289500282,3.289318253,3.289136223,3.288954194,3.288772165,3.288590136,3.288408106,3.288226077,3.288044048,3.287862018,3.287679989,3.28749796,3.287315931,3.287133901,3.286951872,3.286769843,3.286587814,3.286405784,3.286223755,3.286041726,3.285859696,3.285677667,3.285495638,3.285313609,3.285131579,3.28494955,3.284767521,3.284585491,3.284403462,3.284221433,3.284039404,3.283857374,3.283675345,3.283493316,3.283311286,3.283129257,3.282947228,3.282765199,3.282583169,3.28240114,3.282219111,3.282037081,3.281855052,3.281673023,3.281490994,3.281308964,3.281126935,3.280944906,3.280762876,3.280580847,3.280398818,3.280216789,3.280034759,3.27985273,3.279670701,3.279488671,3.279306642,3.279124613,3.278942584,3.278760554,3.278578525,3.278396496,3.278214466,3.278032437,3.277850408,3.277668379,3.277486349,3.27730432,3.277122291,3.276940261,3.276758232,3.276576203,3.276394174,3.276212144,3.276030115,3.275848086,3.275666056,3.275484027,3.275301998,3.275119969,3.274937939,3.27475591,3.274573881,3.274391851,3.274209822,3.274027793,3.273845764,3.258403095,3.242960426,3.227517757,3.242960426,3.258403095,3.273845764,3.289288432,3.304731101,3.303186834,3.301642567,3.3000983,3.298554033,3.297009767,3.34488204,3.392754313,3.64269449,3.6933783,3.33189344,3.47768899,3.619805027,3.458634691,3.39823574,3.242960426,3.421974671,3.035078478,3.024893651,2.923371441,3.096342133,2.933247696,3.421974671,3.541432199,3.27539003,3.393467402,3.212375763,3.033095731,3.043514729,2.959363302,2.508801277,2.52913192,2.48628155,2.521575767,2.459951453,2.482623816,2.501517453,2.418998401,2.422635993,2.329843528,2.326345265,2.315850474,2.211365206,2.194561519,2.089849134,2.067273603,1.956808264,1.928986345,1.817138278,1.787543192,1.757948106,1.655417891,1.629949923,1.537480662,1.450433796,1.44012876,1.361272612,1.351461639,1.275294726,1.199159061,1.188096708,1.112885259,1.100310284,1.02845586,1.014584587,0.944289339,0.871530361,0.850402353,0.774139024,0.747672733,0.674372405,0.605776428,0.582588814,0.524210209,0.472177358,0.425901403,0.416592082,0.377191933,0.341174458,0.334252077,0.301018313,0.26903099,0.263236477,0.234699479,0.230171515,0.204884898,0.200773495,0.197347326,0.175923786,0.172815592,0.169707398,0.090729609,0.06541806,0.040240639
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.584195506,3.576049607,3.567903708,3.563016169,3.558128629,3.55324109,3.548353551,3.543466011,3.563016169,3.582566326,3.602116483,3.621666641,3.641216798,3.611891562,3.582566326,3.55324109,3.523915854,3.494590618,3.55487027,3.615149921,3.675429573,3.735709225,3.795988877,3.804134775,3.812280674,3.820426573,3.828572472,3.836718371,3.826943292,3.817168214,3.807393135,3.797618056,3.686646427,3.569152065,3.453296552,3.4368023,3.323087481,3.211063384,3.113098097,3.110352861,3.013455663,2.917559085,2.914979457,2.817702009,2.72164492,2.626819961,2.622145904,2.528747089,2.462230552,2.395196324,2.415693115,2.33903218,2.280769921,2.214400831,2.238888676,2.174397094,2.105974513,2.037182695,1.968073216,1.893118921,1.904438018,1.823900609,1.7389748,1.736398541,1.643338109,1.628621648,1.531752532,1.513101055,1.415981179,1.393856473,1.29941405,1.280551588,1.259593297,1.238635006,1.219772544,1.198814253,1.177855961,1.154801841,1.129651892,1.104501943,1.077256164,1.047914556,1.020668778,0.939283387,0.862014624,0.790539661,0.722860584,0.660419873,0.560688754,0.508595293,0.459647689,0.414803664,0.373808536,0.365897244,0.327312081,0.320058628,0.310991811,0.301018313,0.264892052,0.254130812,0.242541785,0.231780545,0.221847093,0.213569217,0.188665176,0.184137212,0.180363908,0.177345265,0.158974235,0.1562333,0.154177599,0.083562044,0.064361768,0.045610901
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.260058067,3.171162534,3.171162534,3.082880863,2.995251497,2.908304169,2.90302594,2.90302594,2.816940354,2.816940354,2.816940354,2.731594811,2.731594811,2.731594811,2.731594811,2.651818916,2.656631654,2.661444393,2.586509962,2.595830718,2.609811853,2.534338375,2.543357372,2.55237637,2.556885869,2.476552521,2.476552521,2.476552521,2.392604522,2.392604522,2.38839219,2.309560981,2.309560981,2.31362711,2.239222027,2.247065186,2.254908346,2.184104362,2.191661816,2.202997998,2.127991075,2.135266258,2.056978971,2.060477235,2.063975498,1.982835063,1.982835063,1.982835063,1.902794736,1.902794736,1.902794736,1.89956966,1.893119509,1.808424699,1.796059402,1.783694105,1.771328808,1.755872186,1.737324241,1.721867619,1.703319674,1.612932184,1.595175133,1.577418081,1.556701521,1.468652795,0.720965215,0.335062195,0.087296661
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117968084,4.117021425,4.116074766,4.115128106,4.114181447,4.113234788,4.112288128,4.111341469,4.11039481,4.10944815,4.108501491,4.107554832,4.106608172,4.105661513,4.104714854,4.103768194,4.102821535,4.101874876,4.100928216,4.099981557,4.099034898,3.98634123,3.874470671,3.763470991,3.653378973,3.544223136,3.554466555,3.45670907,3.466642142,3.364104214,3.364104214,3.359291476,3.248283682,3.238962925,3.125082729,3.111554232,2.995407714,2.982327331,2.969246948,2.860173363,2.847536368,2.736504472,2.724306087,2.712107701,2.603928942,2.588242623,2.482623816,2.471287634,2.46373018,2.459951453,2.456172725,2.456172725,2.456172725,2.459951453,2.459951453,2.459951453,2.459951453,2.456172725,2.448615271,2.441057816,2.335333795,2.32442102,2.221397358,2.117264559,2.103821609,2.005997162,1.904255751,1.808259752,1.7091836,1.613138761,1.591522161,1.494230199,1.400516508,1.310266245,1.223496237,1.201371532,1.117076917,1.098214455,1.018547808,0.996750092,0.92185078,0.903151981,0.832795679,0.816949672,0.750981019,0.73609373,0.301617999,0.161029936,0.06541806
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.689262021,2.646268224,2.603274426,2.560280629,2.525455653,2.490630678,2.455805702,2.420980726,2.38615575,2.393894634,2.401633517,2.409372401,2.417111284,2.424850168,2.414531656,2.404213145,2.393894634,2.383576122,2.373257611,2.39260482,2.411952029,2.431299237,2.450646446,2.469993655,2.463544585,2.457095516,2.450646446,2.444197377,2.437748307,2.420980726,2.404213145,2.387445564,2.370677983,2.353910402,2.32037524,2.286840078,2.253304917,2.219769755,2.186234593,2.17204664,2.157858687,2.143670733,2.12948278,2.115294827,2.108845758,2.102396688,2.095947618,2.089498549,2.083049479,2.114005013,2.144960547,2.175916081,2.206871615,2.23782715,2.244276219,2.250725289,2.257174358,2.263623428,2.270072497,2.32037524,2.370677983,2.420980726,2.471283469,2.521586212,2.427429796,2.33327338,2.168231688,2.077056046,1.985880405,2.009611051,2.033341698,2.057072344,2.013437139,2.036399508,2.011020048,1.985640588,1.960261128,1.934881669,1.846252464,1.831061779,1.815871094,1.800680409,1.785489724,1.710291,1.700130855,1.689970711,1.679810566,1.669650422,1.659490277,1.587725587,1.573559196,1.559392804,1.545226413,1.531060021,1.543046968,1.499753266,1.511314083,1.5228749,1.534435717,1.527078834,1.51972195,1.512365067,1.450184837,1.443095944,1.36677411,1.344351996,1.321929881,1.249733666,1.228170369,1.165476843,1.151066001,1.136655159,1.07694312,1.063113995,0.975114963,0.931205793,0.887296623,0.807424973,0.765388113,0.729242708,0.72664922,0.724055732,0.688904824,0.686428372,0.68395192,0.649744104,0.647382962,0.635707357,0.594113328,0.582997495,0.543597291,0.534224924,0.524852557,0.489177248,0.480283116,0.471388984,0.447660715,0.44878408,0.425388367,0.42645051,0.403407885,0.378642088,0.377437791,0.353470555,0.352339121,0.329155745,0.328095353,0.305717103,0.304725832,0.28315998,0.282235857,0.261455654,0.259697547,0.238900432,0.237154934,0.217395806,0.215676413,0.196991165,0.195507798,0.184977566,0.177074929,0.161087479,0.160839143,0.1610047,0.147385235,0.14844176,0.149951082,0.151837734,0.15402625,0.171352046,0.173587073,0.159837137,0.176235993,0.160893662,0.160365399,0.174828754,0.173421515,0.172097055,0.171020931,0.170524258,0.170772595,0.18840845,0.174083745,0.176649887,0.179298808,0.181202719,0.165497092,0.163836839,0.160063535,0.154177182,0.160839143,0.151319585,0.155133233,0.158423618,0.161945368,0.141612123,0.11406914,0.111089104,0.109267971,0.099011484,0.099539747,0.101049068,0.103388516,0.096686485,0.099907084,0.09368097,0.096851328,0.099897358,0.102694733,0.09449383,0.086692205,0.071684364,0.063040036,0.039994792
