name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
John Eager Howard Monument,21201,Mount Vernon,11,CENTRAL,NA
Severn Teackle Wallis,21202,Mount Vernon,11,CENTRAL,NA
Roger B. Taney,21201,Mount Vernon,11,CENTRAL,NA
George Peabody,21202,Mount Vernon,11,CENTRAL,NA
William H. Welch,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Wallace Monument,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
George Washington,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
Columbus Monument,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
The Pride Memorial,21202,Inner Harbor,11,CENTRAL,"399 PRATT ST
Baltimore, MD
"
Frederick Douglas,21251,Morgan State University,3,NORTHEASTERN,"4601 HILLEN ROAD
Baltimore, MD
"
Jose Marti,21231,Dunbar-Broadway,12,SOUTHEASTERN,NA
John Mifflen Hood,21202,Downtown,11,CENTRAL,NA
Firemen's Memorial,21202,Downtown,11,CENTRAL,"410 LEXINGTON ST
Baltimore, MD
"
Fallsway Fountain,21202,Mid-Town Belvedere,12,EASTERN,NA
Thurgood Marshall,21201,Inner Harbor,11,CENTRAL,"100 PRATT ST
Baltimore, MD
"
"Mayor Thomas D'Alesandro , Jr.",21201,Downtown,11,CENTRAL,"100 CHARLES ST
Baltimore, MD
"
Wagner,21217,Druid Hill Park,7,NORTHERN,"2700 MADISON AVE
Baltimore, MD
"
John Eager Howard,21201,Mount Vernon,11,CENTRAL,"310 CENTRE ST
Baltimore, MD
"
Granite Memorial Shaft,21223,Carrollton Ridge,9,SOUTHERN,NA
Veterans Memorial,21223,Carrollton Ridge,9,SOUTHERN,NA
H.L. Mencken Fountain,21223,Union Square,9,SOUTHERN,"31 GILMOR ST
Baltimore, MD
"
